"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"187","L","Left","P03","N","N",-0.20179010952923,-0.528707822673354
"188","L","Left","P03","V","N",-0.42590133642962,-0.491906387083141
"189","L","Left","P04","N","E",-0.347760144957204,-0.427096359952668
"190","L","Left","P04","V","E",-0.470177198196965,-0.520652805221542
"191","L","Left","P05","N","E",-0.484075916445986,-0.992978283075985
"192","L","Left","P05","V","E",-0.499925622979437,-0.950568440837266
"193","L","Left","P06","N","N",-0.567666266033499,-0.840210752053502
"194","L","Left","P06","V","N",-0.641133068034525,-0.717080781180874
"195","L","Left","P07","N","E",-0.356014838750075,-0.497653065295259
"196","L","Left","P07","V","E",-0.415637340820824,-0.469156960285979
"197","L","Left","P08","N","E",-0.183178823823968,-0.384735686033436
"198","L","Left","P08","V","E",-0.336523869494779,-0.171795540942538
"199","L","Left","P10","N","N",-0.473267680453874,-0.761845250378095
"200","L","Left","P10","V","N",-0.552336864365944,-0.776655144807481
"201","L","Left","P12","N","N",-0.187314552205366,-0.929737128484997
"202","L","Left","P12","V","N",-0.287303867887727,-0.991255237459845
"203","L","Left","P13","N","E",-0.147155197310731,-0.844568042163075
"204","L","Left","P13","V","E",-0.19534003545429,-0.801500172827132
"205","L","Left","P14","N","N",-0.182046640066445,-0.451094740066393
"206","L","Left","P14","V","N",-0.405027564825244,-0.54563824461094
"207","L","Left","P15","N","E",-0.406895652765251,-0.774713541847907
"208","L","Left","P15","V","E",-0.477193347552012,-0.852128153331646
"209","L","Left","P16","N","N",0.0928007878565912,-0.857689145414151
"210","L","Left","P16","V","N",0.0765930214670079,-0.790970327688521
"211","L","Left","P17","N","N",-0.183534932335985,-0.727208660578626
"212","L","Left","P17","V","N",-0.486956137037948,-0.77948678067303
"213","L","Left","P18","N","N",-0.969990384092243,-0.637066209973093
"214","L","Left","P18","V","N",-0.808381315646889,-0.445003035739043
"215","L","Left","P19","N","N",-0.315204043453272,-0.985555830230915
"216","L","Left","P19","V","N",-0.304889591906524,-1.01813359958075
"217","L","Left","P20","N","E",-0.0981650213120692,-0.775387529625745
"218","L","Left","P20","V","E",-0.603169768410122,-0.883401680308981
"219","L","Left","P21","N","E",0.0962837909003214,-0.573803342210951
"220","L","Left","P21","V","E",0.0410089349401179,-0.597625516867446
"221","L","Left","P22","N","E",-0.556333329597482,-0.457870977715902
"222","L","Left","P22","V","E",-0.859081499934142,-0.624330729110583
"223","L","Left","P23","N","E",-0.328701919060486,-0.895824831717588
"224","L","Left","P23","V","E",-0.485285785134302,-0.815476043606204
"225","L","Left","P24","N","N",-0.557974012923355,-0.277840758379005
"226","L","Left","P24","V","N",-0.755064285002449,-0.267810695138947
"227","L","Left","P25","N","E",-0.636944223716928,-0.704944120828327
"228","L","Left","P25","V","E",-0.79867620477177,-0.784665757487351
"229","L","Left","P26","N","N",-0.63370084646534,-0.933415068901988
"230","L","Left","P26","V","N",-0.978138402428233,-1.06053052562301
"231","L","Left","P27","N","N",-0.209923996311936,-0.794795030356882
"232","L","Left","P27","V","N",-0.185830349919484,-0.738871671924227
"233","L","Left","P28","N","N",-0.400635677804443,-0.622504942927031
"234","L","Left","P28","V","N",-0.347042736350529,-0.579966237111232
"235","L","Left","P29","N","E",-0.377955110287585,-0.513389111347923
"236","L","Left","P29","V","E",-0.989303162698344,-0.830204499721803
"237","L","Left","P30","N","E",-0.0163108379123331,-0.979699950167454
"238","L","Left","P30","V","E",-0.0481655446449788,-0.93222894751284
"239","L","Left","P31","N","E",0.0646313565954029,-0.872305450675454
"240","L","Left","P31","V","E",-0.203573707031644,-0.969042187621296
"241","L","Left","P32","N","N",-0.140604888582211,-0.826328954659772
"242","L","Left","P32","V","N",0.0136132491084308,-0.55077139449804
"243","L","Left","P33","N","E",0.207618577540968,-0.720191933797455
"244","L","Left","P33","V","E",0.116964440619229,-0.688664047209294
"245","L","Right","P01","N","N",-0.422128557506482,-0.760986865374504
"246","L","Right","P01","V","N",-0.417120240401013,-0.710582816133167
"247","L","Right","P02","N","N",-0.460885316726322,-0.40727781395491
"248","L","Right","P02","V","N",-0.486449916203269,-0.350043739292238
"249","L","Right","P03","N","N",-0.154012501951395,-0.506147297375707
"250","L","Right","P03","V","N",-0.537295692689652,-0.554427094980447
"251","L","Right","P04","N","E",-0.658803331566527,-1.36006186470184
"252","L","Right","P04","V","E",-0.758035793234957,-1.41305564603721
"253","L","Right","P05","N","E",-0.314396480146326,-0.743910849281288
"254","L","Right","P05","V","E",-0.374078421218655,-0.675616356039964
"255","L","Right","P06","N","N",-0.542181585763204,-0.863280011002303
"256","L","Right","P06","V","N",-0.675238575272671,-0.791701861112871
"257","L","Right","P07","N","E",-0.40296466890367,-0.191984204457718
"258","L","Right","P07","V","E",-0.467149020823505,-0.206863139221461
"259","L","Right","P08","N","E",-0.466843150508878,-0.879456269659911
"260","L","Right","P08","V","E",-0.65418632445061,-0.921624993568744
"261","L","Right","P10","N","N",-0.341539192408167,-1.09465166368742
"262","L","Right","P10","V","N",-0.591163089084667,-0.995792524371411
"263","L","Right","P12","N","N",-0.263988614543401,-0.655934481591738
"264","L","Right","P12","V","N",-0.353855715491852,-0.788018298127793
"265","L","Right","P13","N","E",-0.340192904495372,-0.718367721428741
"266","L","Right","P13","V","E",-0.420924513657224,-0.576854458386109
"267","L","Right","P14","N","N",-0.223684144483041,-0.169354724496866
"268","L","Right","P14","V","N",-0.315392207589763,-0.20401255339365
"269","L","Right","P15","N","E",-0.530787912332497,-0.571804429660714
"270","L","Right","P15","V","E",-0.525493534285026,-0.60572830902876
"271","L","Right","P16","N","N",-0.000826014894895242,-0.666539605393789
"272","L","Right","P16","V","N",-0.0679475545512763,-0.777304134658927
"273","L","Right","P17","N","N",-0.217423914309701,-1.08143533047566
"274","L","Right","P17","V","N",-0.673061340027389,-1.14020043671834
"275","L","Right","P18","N","N",-0.68101119627793,-1.28883685791198
"276","L","Right","P18","V","N",-0.699255645604138,-1.1450450695718
"277","L","Right","P19","N","N",-0.0873896719531899,-0.739330302996322
"278","L","Right","P19","V","N",-0.256198965486831,-0.744744597703477
"279","L","Right","P20","N","E",-0.892172120112198,-1.33609994453451
"280","L","Right","P20","V","E",-1.11065189552226,-1.45076031120336
"281","L","Right","P21","N","E",-0.303772042079129,-0.298795359655883
"282","L","Right","P21","V","E",-0.42935913842511,-0.359541641490022
"283","L","Right","P22","N","E",-0.560341502272837,-1.18204595642515
