"","subID","Skill","Order.x","Condition","Occ","Order.y","Direction","Total","N_rt","N_corr"
"157","P28","Novice","G","Control","Late Occlusion","0",0.555555555555556,0.422222222222222,0,0
"158","P28","Novice","G","Global Prime","Late Occlusion","1",0.8,0.6,0.846664151104374,1
"159","P28","Novice","G","Global Prime","Early Occlusion","1",0.577777777777778,0.288888888888889,0.750666184436219,0.955555555555556
"160","P28","Novice","G","Control","Early Occlusion","0",0.622222222222222,0.355555555555556,0,0
"161","P29","Expert","G","Global Prime","Early Occlusion","1",0.644444444444444,0.466666666666667,0.655869391120763,1
"162","P29","Expert","G","Local Prime","Early Occlusion","2",0.622222222222222,0.377777777777778,0.660822242250045,1
"163","P29","Expert","G","Control","Early Occlusion","0",0.622222222222222,0.4,0,0
"164","P29","Expert","G","Global Prime","Late Occlusion","1",0.711111111111111,0.622222222222222,0.606360891094017,0.977777777777778
"165","P29","Expert","G","Control","Late Occlusion","0",0.688888888888889,0.622222222222222,0,0
"166","P29","Expert","G","Local Prime","Late Occlusion","2",0.622222222222222,0.622222222222222,0.743591575557366,0.977777777777778
"167","P30","Expert","L","Local Prime","Early Occlusion","1",0.577777777777778,0.288888888888889,1.01588757778518,0.977777777777778
"168","P30","Expert","L","Control","Early Occlusion","0",0.6,0.333333333333333,0,0
"169","P30","Expert","L","Global Prime","Late Occlusion","2",0.844444444444444,0.711111111111111,0.805174904446014,1
"170","P30","Expert","L","Control","Late Occlusion","0",0.8,0.711111111111111,0,0
"171","P30","Expert","L","Global Prime","Early Occlusion","2",0.666666666666667,0.4,0.839412102237758,0.977777777777778
"172","P30","Expert","L","Local Prime","Late Occlusion","1",0.733333333333333,0.555555555555556,1.2431679777801,0.977777777777778
"173","P31","Expert","L","Control","Late Occlusion","0",0.577777777777778,0.4,0,0
"174","P31","Expert","L","Control","Early Occlusion","0",0.6,0.377777777777778,0,0
"175","P31","Expert","L","Local Prime","Late Occlusion","1",0.688888888888889,0.533333333333333,0.847423462238577,1
"176","P31","Expert","L","Local Prime","Early Occlusion","1",0.6,0.422222222222222,0.794050486660045,1
"177","P31","Expert","L","Global Prime","Late Occlusion","2",0.555555555555556,0.422222222222222,0.635209526670062,1
"178","P31","Expert","L","Global Prime","Early Occlusion","2",0.622222222222222,0.377777777777778,0.581188282236043,0.977777777777778
"179","P32","Novice","L","Control","Early Occlusion","0",0.755555555555556,0.355555555555556,0,0
"180","P32","Novice","L","Local Prime","Early Occlusion","1",0.666666666666667,0.355555555555556,0.693257999999656,1
"181","P32","Novice","L","Global Prime","Late Occlusion","2",0.666666666666667,0.466666666666667,0.597334204464116,1
"182","P32","Novice","L","Local Prime","Late Occlusion","1",0.688888888888889,0.422222222222222,0.719745919993147,1
"183","P32","Novice","L","Global Prime","Early Occlusion","2",0.711111111111111,0.466666666666667,0.59744277555599,1
"184","P32","Novice","L","Control","Late Occlusion","0",0.644444444444444,0.466666666666667,0,0
"185","P33","Expert","L","Control","Late Occlusion","0",0.688888888888889,0.577777777777778,0,0
"186","P33","Expert","L","Control","Early Occlusion","0",0.555555555555556,0.355555555555556,0,0
"187","P33","Expert","L","Global Prime","Late Occlusion","2",0.711111111111111,0.555555555555556,1.11308581997744,1
"188","P33","Expert","L","Global Prime","Early Occlusion","2",0.577777777777778,0.444444444444444,0.861756446719584,1
"189","P33","Expert","L","Local Prime","Late Occlusion","1",0.688888888888889,0.577777777777778,1.24829874667856,1
"190","P33","Expert","L","Local Prime","Early Occlusion","1",0.6,0.4,1.11736912444855,1
